Depth,First arrival time (1-2),First arrival time (2-3),First arrival time (3-4),First arrival time (4-1),First arrival time (1-3),First arrival time (2-4)
-1.84,119,157,113,144,132,106
-1.85,128,156,115,143,139,106
-1.86,124,156,115,142,139,107
-1.87,123,156,116,142,137,107
-1.88,116,155,116,141,129,106
-1.89,115,154,116,141,131,107
-1.9,114,154,116,141,134,107
-1.91,114,153,121,141,138,107
-1.92,114,153,122,141,141,106
-1.93,114,152,123,142,149,106
-1.94,114,152,124,142,149,106
-1.95,114,153,140,142,149,106
-1.96,114,153,141,142,148,106
-1.97,114,154,141,141,148,107
-1.98,114,155,141,141,140,111
-1.99,115,156,142,141,138,111
-2,116,158,142,141,137,112
-2.01,116,158,142,141,136,113
-2.02,117,160,142,141,135,113
-2.03,117,161,142,140,133,113
-2.04,117,163,141,140,131,108
-2.05,117,171,139,140,130,108
-2.06,117,171,136,140,129,107
-2.07,117,172,136,139,125,106
-2.08,118,173,135,139,119,106
-2.09,118,174,135,139,124,105
-2.1,117,174,134,138,124,105
-2.11,117,175,134,138,125,104
-2.12,115,181,133,137,125,104
-2.13,114,178,134,137,117,104
-2.14,114,166,133,137,118,104
-2.15,113,164,133,137,118,103
-2.16,113,163,126,137,119,103
-2.17,112,162,122,136,120,103
-2.18,111,161,115,136,129,103
-2.19,111,161,109,137,130,103
-2.2,111,160,107,137,131,104
-2.21,112,160,106,137,130,104
-2.22,112,160,105,138,130,104
-2.23,112,159,105,138,130,104
-2.24,113,159,105,139,130,104
-2.25,113,159,104,140,126,104
-2.26,112,159,104,141,132,105
-2.27,112,160,103,141,132,105
-2.28,112,161,102,142,133,106
-2.29,112,161,101,142,135,107
-2.3,112,162,102,142,134,108
-2.31,112,162,101,141,127,108
-2.32,112,163,102,141,125,108
-2.33,112,163,101,142,120,109
-2.34,113,164,101,142,120,109
-2.35,113,166,101,142,120,110
-2.36,114,170,101,142,119,110
-2.37,114,171,101,142,118,111
-2.38,113,174,101,142,118,111
-2.39,114,174,102,142,117,112
-2.4,114,175,102,142,117,112
-2.41,114,175,103,142,117,113
-2.42,114,174,103,142,117,114
-2.43,113,174,104,142,118,115
-2.44,112,173,104,141,115,115
-2.45,112,173,105,141,115,115
-2.46,112,172,106,141,115,116
-2.47,112,171,107,141,115,116
-2.48,112,171,107,141,115,115
-2.49,112,171,108,141,116,115
-2.5,112,171,109,141,120,115
-2.51,112,171,109,142,121,114
-2.52,112,170,109,142,121,113
-2.53,112,170,109,142,121,112
-2.54,112,170,109,142,122,111
-2.55,112,169,109,142,123,111
-2.56,112,168,108,142,123,111
-2.57,112,167,108,141,124,110
-2.58,112,160,108,142,124,110
-2.59,113,159,108,142,125,111
-2.6,113,159,109,142,126,111
-2.61,113,159,109,143,126,110
-2.62,113,159,110,143,126,110
-2.63,113,158,111,143,127,110
-2.64,113,158,111,143,126,110
-2.65,114,158,112,143,127,110
-2.66,114,158,112,143,127,110
-2.67,114,158,112,143,127,110
-2.68,114,157,111,143,128,110
-2.69,113,157,111,143,128,111
-2.7,113,157,110,143,129,111
-2.71,113,156,110,143,129,111
-2.72,113,157,109,143,129,111
-2.73,113,157,108,143,129,112
-2.74,113,158,107,143,130,112
-2.75,113,159,106,143,130,115
-2.76,113,162,105,143,130,116
-2.77,113,167,104,143,130,116
-2.78,114,174,104,143,130,116
-2.79,114,175,104,143,135,116
-2.8,114,176,104,143,135,116
-2.81,114,171,104,142,135,117
-2.82,120,169,105,142,135,117
-2.83,122,169,106,142,131,118
-2.84,136,170,106,142,130,118
-2.85,132,180,107,142,130,118
-2.86,131,180,108,142,131,118
-2.87,124,181,108,142,131,118
-2.88,124,180,108,143,131,117
-2.89,124,180,109,143,131,117
-2.9,124,180,109,144,132,117
-2.91,124,172,109,146,132,117
-2.92,126,172,110,146,132,117
-2.93,129,170,110,148,137,117
-2.94,135,169,110,152,133,122
-2.95,135,167,107,147,124,123
-2.96,133,167,106,147,124,118
-2.97,129,165,106,148,124,118
-2.98,128,162,105,148,124,118
-2.99,127,160,106,149,124,119
-3,127,159,106,150,126,119
-3.01,127,159,106,151,127,118
-3.02,127,158,106,161,129,117
-3.03,127,158,105,160,130,116
-3.04,126,158,108,159,132,116
-3.05,127,157,107,158,132,116
-3.06,126,149,106,157,132,115
-3.07,127,149,105,150,132,115
-3.08,143,149,104,149,132,115
-3.09,127,149,104,149,133,114
-3.1,126,150,104,149,134,114
-3.11,126,150,104,148,134,113
-3.12,125,150,104,148,134,113
-3.13,123,150,104,148,134,113
-3.14,121,151,104,147,133,110
-3.15,121,152,104,147,133,109
-3.16,121,153,105,147,132,109
-3.17,115,154,105,147,131,109
-3.18,115,155,105,146,130,109
-3.19,115,157,105,146,129,109
-3.2,114,164,105,145,128,109
-3.21,114,166,106,145,126,109
-3.22,114,166,106,144,120,114
-3.23,114,166,106,144,119,114
-3.24,114,165,106,144,119,114
-3.25,114,165,106,144,119,114
-3.26,114,158,106,144,119,114
-3.27,114,155,106,144,119,114
-3.28,113,152,107,144,122,114
-3.29,113,152,108,143,118,114
-3.3,112,151,108,143,121,115
-3.31,113,151,108,143,121,115
-3.32,113,150,108,143,118,116
-3.33,113,151,108,143,121,116
-3.34,118,150,109,143,121,122
-3.35,117,150,106,142,122,123
-3.36,117,150,106,142,122,123
-3.37,118,150,106,142,122,122
-3.38,122,150,106,141,122,122
-3.39,122,150,109,141,122,122
-3.4,122,151,109,141,123,122
-3.41,122,151,109,140,123,121
-3.42,122,153,110,140,123,110
-3.43,118,158,110,140,123,110
-3.44,118,158,110,139,124,110
-3.45,117,158,110,139,124,110
-3.46,117,158,110,139,125,110
-3.47,117,158,110,139,125,110
-3.48,117,159,108,139,126,110
-3.49,117,159,108,139,127,110
-3.5,118,160,108,139,131,110
-3.51,118,161,108,139,131,110
-3.52,118,163,108,139,131,111
-3.53,117,164,108,139,124,112
-3.54,117,165,109,139,124,113
-3.55,117,166,109,139,123,113
-3.56,117,167,109,139,119,113
-3.57,116,167,109,139,119,113
-3.58,116,168,110,140,123,113
-3.59,116,169,110,140,123,113
-3.6,116,169,111,140,123,113
-3.61,116,170,111,140,129,113
-3.62,116,170,111,141,128,110
-3.63,116,170,111,141,128,109
-3.64,116,169,111,141,128,109
-3.65,115,167,111,141,128,109
-3.66,115,161,111,142,128,109
-3.67,116,160,111,142,129,109
-3.68,117,159,110,142,124,110
-3.69,118,158,110,142,123,110
-3.7,118,157,110,142,124,110
-3.71,118,161,110,141,125,110
-3.72,119,156,109,141,126,111
-3.73,119,160,109,140,127,111
-3.74,119,159,109,145,123,112
-3.75,119,159,109,146,124,112
-3.76,119,159,109,147,124,113
-3.77,119,158,109,148,119,113
-3.78,119,158,108,148,119,114
-3.79,118,158,108,149,119,115
-3.8,118,157,107,149,119,115
-3.81,118,156,107,148,123,115
-3.82,118,156,107,148,123,115
-3.83,118,147,107,147,122,115
-3.84,118,146,106,146,119,114
-3.85,117,146,106,144,122,114
-3.86,116,145,106,143,122,113
-3.87,116,146,106,143,121,113
-3.88,114,146,105,143,122,113
-3.89,112,147,105,143,122,112
-3.9,112,148,104,143,123,112
-3.91,112,159,104,143,123,112
-3.92,112,160,103,143,120,111
-3.93,112,162,104,143,119,111
-3.94,112,163,104,143,124,111
-3.95,111,164,104,144,124,111
-3.96,112,164,105,145,123,110
-3.97,112,164,105,146,124,110
-3.98,113,164,105,148,124,110
-3.99,113,164,105,154,125,110
-4,113,163,105,149,126,110
-4.01,112,162,104,154,127,110
-4.02,111,154,104,155,127,110
-4.03,111,151,104,156,128,110
-4.04,111,148,104,157,128,110
-4.05,110,146,104,172,128,110
-4.06,110,145,104,173,129,110
-4.07,110,144,104,174,129,111
-4.08,110,143,104,190,129,112
-4.09,110,143,104,190,128,112
-4.1,110,143,104,173,128,113
-4.11,111,142,104,172,125,113
-4.12,111,142,105,157,124,113
-4.13,112,141,105,152,128,117
-4.14,112,141,105,152,127,116
-4.15,112,141,105,151,127,115
-4.16,113,141,106,150,127,111
-4.17,114,141,106,150,126,114
-4.18,116,142,106,149,126,110
-4.19,117,142,106,149,126,113
-4.2,117,143,107,148,126,113
-4.21,118,143,107,148,126,113
-4.22,119,144,107,148,125,113
-4.23,120,145,108,148,125,113
-4.24,121,145,108,148,125,113
-4.25,122,146,108,148,124,113
-4.26,123,147,108,148,124,112
-4.27,120,148,109,148,124,112
-4.28,120,149,109,148,123,112
-4.29,120,149,109,148,123,111
-4.3,120,150,109,148,122,111
-4.31,120,151,108,149,122,111
-4.32,119,152,109,149,122,110
-4.33,119,152,109,149,122,110
-4.34,119,153,109,146,122,110
-4.35,119,153,108,147,121,109
-4.36,118,153,108,148,121,109
-4.37,118,154,111,152,121,110
-4.38,117,154,109,153,121,110
-4.39,116,154,108,153,121,110
-4.4,116,154,107,154,120,111
-4.41,115,153,107,155,120,112
-4.42,114,153,107,155,120,112
-4.43,113,152,107,155,120,112
-4.44,113,151,107,155,120,113
-4.45,112,150,107,155,120,113
-4.46,111,149,107,154,120,114
-4.47,111,148,106,153,119,114
-4.48,111,148,106,152,119,114
-4.49,111,147,106,150,124,115
-4.5,111,147,106,148,119,115
-4.51,111,146,105,147,119,115
-4.52,111,146,105,146,119,115
-4.53,110,146,105,145,119,115
-4.54,110,147,105,144,118,115
-4.55,110,147,106,143,118,115
-4.56,110,148,106,143,118,115
-4.57,110,148,106,143,118,115
-4.58,110,149,106,143,117,119
-4.59,109,150,106,143,117,118
-4.6,110,151,106,144,118,117
-4.61,110,152,106,145,118,111
-4.62,110,153,107,145,118,111
-4.63,110,154,107,146,118,109
-4.64,110,155,107,146,114,109
-4.65,110,156,107,147,115,108
-4.66,111,156,107,148,116,107
-4.67,111,157,107,149,120,107
-4.68,112,158,107,150,120,106
-4.69,116,158,107,151,121,106
-4.7,116,158,107,152,120,106
-4.71,116,158,107,153,120,106
-4.72,116,156,107,153,120,105
-4.73,116,155,106,153,120,105
-4.74,116,155,106,153,120,105
-4.75,116,154,106,152,120,105
-4.76,116,153,106,152,121,106
-4.77,117,153,106,151,121,106
-4.78,117,152,106,150,121,106
-4.79,117,152,106,150,121,106
-4.8,117,151,106,149,121,107
-4.81,114,151,106,149,121,107
-4.82,114,151,106,148,120,108
-4.83,114,151,106,148,120,108
-4.84,113,151,106,147,120,109
-4.85,113,151,106,146,120,110
-4.86,112,152,106,146,120,110
-4.87,112,152,106,145,119,111
-4.88,112,153,106,145,119,111
-4.89,112,154,106,144,119,112
-4.9,112,155,105,144,118,113
-4.91,112,156,105,144,118,113
-4.92,112,157,105,144,118,114
-4.93,112,159,104,143,117,114
-4.94,112,164,104,143,121,115
-4.95,112,164,103,143,121,115
-4.96,112,170,103,143,115,115
-4.97,112,167,102,143,115,116
-4.98,112,162,102,143,115,116
-4.99,112,154,102,143,116,117
-5,112,153,101,143,116,117
-5.01,113,152,101,143,117,117
-5.02,122,151,102,143,117,118
-5.03,115,150,102,145,118,118
-5.04,114,149,103,145,124,118
-5.05,114,149,103,144,120,118
-5.06,114,148,104,143,120,118
-5.07,113,148,105,142,121,118
-5.08,113,148,105,142,120,118
-5.09,112,149,104,142,120,117
-5.1,112,149,103,143,120,117
-5.11,112,150,103,143,120,117
-5.12,112,151,103,151,119,116
-5.13,111,152,103,151,115,116
-5.14,111,153,103,144,114,113
-5.15,114,154,103,144,118,113
-5.16,114,155,103,144,114,116
-5.17,114,157,103,144,113,117
-5.18,113,157,103,143,112,117
-5.19,113,158,103,142,112,116
-5.2,113,158,103,141,111,114
-5.21,112,158,104,140,111,110
-5.22,112,159,104,139,111,110
-5.23,112,158,104,138,110,109
-5.24,111,153,105,138,110,109
-5.25,111,152,105,137,111,109
-5.26,111,152,106,136,111,109
-5.27,111,151,106,136,111,109
-5.28,110,154,106,135,112,108
-5.29,110,154,107,135,113,108
-5.3,110,153,107,134,114,108
-5.31,109,152,107,134,115,108
-5.32,108,152,107,134,115,109
-5.33,108,151,107,134,116,109
-5.34,107,151,107,135,116,109
-5.35,107,151,107,136,117,109
-5.36,106,150,107,137,117,113
-5.37,106,150,107,139,121,113
-5.38,106,150,107,140,118,113
-5.39,105,150,107,141,118,113
-5.4,105,150,106,141,117,113
-5.41,105,149,106,141,117,113
-5.42,105,149,106,141,117,114
-5.43,105,149,106,141,117,114
-5.44,104,150,106,140,118,114
-5.45,104,150,106,140,118,114
-5.46,103,150,106,139,118,115
-5.47,103,151,105,138,118,115
-5.48,102,151,105,138,118,115
-5.49,102,151,105,137,121,115
-5.5,102,152,105,136,121,115
-5.51,102,152,105,136,121,115
-5.52,102,152,105,136,121,115
-5.53,102,152,105,135,121,115
-5.54,103,152,106,135,121,115
-5.55,103,152,106,135,121,115
-5.56,104,151,106,136,121,115
-5.57,104,151,107,136,120,114
-5.58,105,150,107,137,120,114
-5.59,105,148,108,137,120,114
-5.6,106,147,108,138,121,114
-5.61,106,145,109,139,122,113
-5.62,106,143,110,140,123,113
-5.63,107,142,110,141,123,112
-5.64,107,141,111,141,124,111
-5.65,108,141,111,142,124,110
-5.66,108,140,112,144,125,110
-5.67,108,140,112,145,125,109
-5.68,108,140,113,147,125,108
-5.69,108,139,111,149,124,107
-5.7,108,139,111,149,124,106
